Model 1

140: loss=0.779, reward_mean=-18.9, reward_bound=7.9
141: loss=0.841, reward_mean=-32.9, reward_bound=-9.4
142: loss=0.831, reward_mean=-20.8, reward_bound=-1.5
143: loss=0.855, reward_mean=-18.6, reward_bound=18.4
144: loss=0.884, reward_mean=-44.0, reward_bound=-6.9
145: loss=0.791, reward_mean=1.7, reward_bound=28.6
146: loss=0.649, reward_mean=-34.2, reward_bound=27.4
147: loss=0.770, reward_mean=-8.1, reward_bound=24.4
148: loss=0.662, reward_mean=-27.0, reward_bound=12.1
149: loss=0.650, reward_mean=28.0, reward_bound=15.4
150: loss=0.630, reward_mean=-58.6, reward_bound=-25.9
151: loss=0.721, reward_mean=-83.3, reward_bound=-10.8
152: loss=0.642, reward_mean=-69.0, reward_bound=4.9
153: loss=0.609, reward_mean=-23.7, reward_bound=91.6
154: loss=0.744, reward_mean=-128.2, reward_bound=-52.0
155: loss=0.719, reward_mean=-53.5, reward_bound=0.9
156: loss=0.541, reward_mean=4.0, reward_bound=26.0
157: loss=0.530, reward_mean=-9.8, reward_bound=19.4
158: loss=0.567, reward_mean=-57.3, reward_bound=8.6
159: loss=0.570, reward_mean=-50.2, reward_bound=-12.6
160: loss=0.723, reward_mean=-102.2, reward_bound=-29.5
161: loss=0.623, reward_mean=-67.5, reward_bound=-7.4
162: loss=0.699, reward_mean=-16.9, reward_bound=0.4
163: loss=0.575, reward_mean=-24.2, reward_bound=26.8
164: loss=0.638, reward_mean=-10.3, reward_bound=94.8
165: loss=0.617, reward_mean=-75.7, reward_bound=-17.0
166: loss=0.626, reward_mean=37.5, reward_bound=199.0
167: loss=0.652, reward_mean=-77.3, reward_bound=-32.8
168: loss=0.617, reward_mean=-17.4, reward_bound=89.5
169: loss=0.672, reward_mean=-59.1, reward_bound=-1.5
170: loss=0.634, reward_mean=8.5, reward_bound=189.8
171: loss=0.565, reward_mean=-68.2, reward_bound=59.1
172: loss=0.692, reward_mean=-39.2, reward_bound=103.2
173: loss=0.590, reward_mean=-16.6, reward_bound=96.0
174: loss=0.694, reward_mean=-22.8, reward_bound=135.6
175: loss=0.579, reward_mean=-32.4, reward_bound=74.2
176: loss=0.642, reward_mean=23.7, reward_bound=205.4
177: loss=0.625, reward_mean=-50.1, reward_bound=13.6
178: loss=0.621, reward_mean=-14.5, reward_bound=30.5
179: loss=0.525, reward_mean=-29.0, reward_bound=96.5
180: loss=0.711, reward_mean=-64.2, reward_bound=-28.2
181: loss=0.686, reward_mean=-45.9, reward_bound=-12.0
182: loss=0.689, reward_mean=35.3, reward_bound=212.5
183: loss=0.573, reward_mean=113.4, reward_bound=244.7
184: loss=0.728, reward_mean=34.0, reward_bound=224.5
185: loss=0.736, reward_mean=-13.4, reward_bound=13.1
186: loss=0.749, reward_mean=-41.7, reward_bound=-10.5
187: loss=0.766, reward_mean=39.0, reward_bound=189.2
188: loss=0.706, reward_mean=-5.6, reward_bound=0.7
189: loss=0.692, reward_mean=-50.8, reward_bound=1.1
190: loss=0.731, reward_mean=20.2, reward_bound=208.1
191: loss=0.689, reward_mean=35.6, reward_bound=164.2
192: loss=0.742, reward_mean=-46.6, reward_bound=92.8
193: loss=0.782, reward_mean=-47.8, reward_bound=-23.3
194: loss=0.825, reward_mean=45.7, reward_bound=203.8
195: loss=0.683, reward_mean=-10.2, reward_bound=150.6
196: loss=0.760, reward_mean=39.7, reward_bound=189.6
197: loss=0.807, reward_mean=57.6, reward_bound=181.2
198: loss=0.841, reward_mean=64.2, reward_bound=156.7
199: loss=0.839, reward_mean=-4.9, reward_bound=100.9
200: loss=0.706, reward_mean=67.4, reward_bound=181.8
201: loss=0.772, reward_mean=57.9, reward_bound=179.6
202: loss=0.785, reward_mean=129.5, reward_bound=204.9
203: loss=0.781, reward_mean=79.6, reward_bound=193.8
204: loss=0.709, reward_mean=127.7, reward_bound=226.5
205: loss=0.704, reward_mean=82.2, reward_bound=179.8
206: loss=0.727, reward_mean=94.2, reward_bound=194.4
207: loss=0.716, reward_mean=110.3, reward_bound=211.5
208: loss=0.637, reward_mean=88.3, reward_bound=182.5
209: loss=0.669, reward_mean=113.5, reward_bound=225.9
210: loss=0.720, reward_mean=69.7, reward_bound=212.8
211: loss=0.668, reward_mean=89.5, reward_bound=230.9
212: loss=0.680, reward_mean=109.6, reward_bound=237.5
213: loss=0.645, reward_mean=77.5, reward_bound=222.6
214: loss=0.656, reward_mean=120.0, reward_bound=229.6
215: loss=0.683, reward_mean=116.0, reward_bound=248.3
216: loss=0.617, reward_mean=90.7, reward_bound=205.9
217: loss=0.637, reward_mean=84.3, reward_bound=145.4
218: loss=0.697, reward_mean=56.4, reward_bound=50.8
219: loss=0.568, reward_mean=74.9, reward_bound=129.7
220: loss=0.653, reward_mean=96.2, reward_bound=230.5
221: loss=0.582, reward_mean=87.9, reward_bound=126.8
222: loss=0.763, reward_mean=90.7, reward_bound=233.4
223: loss=0.534, reward_mean=79.8, reward_bound=118.4
224: loss=0.640, reward_mean=93.6, reward_bound=215.5
225: loss=0.626, reward_mean=106.2, reward_bound=223.4
226: loss=0.614, reward_mean=103.8, reward_bound=234.2
227: loss=0.518, reward_mean=70.2, reward_bound=134.4
228: loss=0.492, reward_mean=113.4, reward_bound=229.6
229: loss=0.611, reward_mean=76.4, reward_bound=128.1
230: loss=0.592, reward_mean=105.9, reward_bound=243.0
231: loss=0.629, reward_mean=60.8, reward_bound=41.7
232: loss=0.579, reward_mean=64.5, reward_bound=204.0
233: loss=0.583, reward_mean=115.6, reward_bound=235.6
234: loss=0.518, reward_mean=72.6, reward_bound=140.0
235: loss=0.620, reward_mean=60.7, reward_bound=46.1
236: loss=0.551, reward_mean=177.0, reward_bound=258.6
237: loss=0.580, reward_mean=89.3, reward_bound=227.7
238: loss=0.519, reward_mean=90.1, reward_bound=231.1
239: loss=0.629, reward_mean=48.9, reward_bound=43.8
240: loss=0.521, reward_mean=68.9, reward_bound=119.5
241: loss=0.581, reward_mean=54.7, reward_bound=43.5
242: loss=0.745, reward_mean=20.6, reward_bound=32.7
243: loss=0.664, reward_mean=16.5, reward_bound=37.6
244: loss=0.547, reward_mean=78.9, reward_bound=188.5
245: loss=0.579, reward_mean=41.1, reward_bound=27.4
246: loss=0.449, reward_mean=92.4, reward_bound=201.2
247: loss=0.497, reward_mean=74.5, reward_bound=129.3
248: loss=0.506, reward_mean=83.4, reward_bound=217.4
249: loss=0.635, reward_mean=53.4, reward_bound=31.8
250: loss=0.620, reward_mean=32.7, reward_bound=34.6
251: loss=0.596, reward_mean=57.7, reward_bound=37.4
252: loss=0.535, reward_mean=62.8, reward_bound=42.1
253: loss=0.499, reward_mean=96.4, reward_bound=134.2
254: loss=0.589, reward_mean=73.2, reward_bound=39.3
255: loss=0.509, reward_mean=95.0, reward_bound=224.4
256: loss=0.569, reward_mean=123.1, reward_bound=254.4
257: loss=0.680, reward_mean=25.3, reward_bound=28.3
258: loss=0.602, reward_mean=80.0, reward_bound=52.5
259: loss=0.568, reward_mean=67.0, reward_bound=35.2
260: loss=0.534, reward_mean=93.9, reward_bound=147.4
261: loss=0.541, reward_mean=76.8, reward_bound=53.3
262: loss=0.486, reward_mean=153.6, reward_bound=240.6
263: loss=0.613, reward_mean=41.6, reward_bound=28.6
264: loss=0.625, reward_mean=72.3, reward_bound=43.6
265: loss=0.624, reward_mean=98.6, reward_bound=203.1
266: loss=0.520, reward_mean=109.9, reward_bound=191.4
267: loss=0.699, reward_mean=89.8, reward_bound=90.3
268: loss=0.569, reward_mean=107.7, reward_bound=231.6
269: loss=0.462, reward_mean=91.4, reward_bound=228.1
270: loss=0.497, reward_mean=126.4, reward_bound=222.3
271: loss=0.562, reward_mean=96.6, reward_bound=178.2
272: loss=0.587, reward_mean=48.5, reward_bound=29.4
273: loss=0.390, reward_mean=112.8, reward_bound=263.5
274: loss=0.459, reward_mean=112.8, reward_bound=236.1
275: loss=0.573, reward_mean=118.5, reward_bound=238.5
276: loss=0.510, reward_mean=122.3, reward_bound=267.2
277: loss=0.529, reward_mean=54.7, reward_bound=107.5
278: loss=0.484, reward_mean=85.6, reward_bound=225.6
279: loss=0.508, reward_mean=48.9, reward_bound=25.7
280: loss=0.612, reward_mean=25.3, reward_bound=15.7
281: loss=0.449, reward_mean=74.5, reward_bound=200.6
282: loss=0.479, reward_mean=43.5, reward_bound=44.1
283: loss=0.600, reward_mean=24.8, reward_bound=13.2
284: loss=0.428, reward_mean=72.8, reward_bound=137.2
285: loss=0.416, reward_mean=57.0, reward_bound=19.8
286: loss=0.501, reward_mean=109.2, reward_bound=193.1
287: loss=0.421, reward_mean=47.4, reward_bound=39.3
288: loss=0.483, reward_mean=3.4, reward_bound=19.8
289: loss=0.524, reward_mean=52.6, reward_bound=42.0
290: loss=0.516, reward_mean=42.3, reward_bound=37.6
291: loss=0.478, reward_mean=31.9, reward_bound=26.8
292: loss=0.536, reward_mean=53.6, reward_bound=106.7
293: loss=0.469, reward_mean=72.6, reward_bound=206.6
294: loss=0.457, reward_mean=95.8, reward_bound=208.5
295: loss=0.509, reward_mean=113.9, reward_bound=228.6
296: loss=0.427, reward_mean=68.5, reward_bound=184.4
297: loss=0.519, reward_mean=79.1, reward_bound=169.6
298: loss=0.556, reward_mean=66.1, reward_bound=225.8
299: loss=0.631, reward_mean=33.5, reward_bound=37.8
300: loss=0.552, reward_mean=131.1, reward_bound=218.0
301: loss=0.521, reward_mean=94.6, reward_bound=235.9
302: loss=0.567, reward_mean=117.8, reward_bound=235.0
303: loss=0.536, reward_mean=70.5, reward_bound=123.0
304: loss=0.513, reward_mean=100.2, reward_bound=200.1
305: loss=0.431, reward_mean=107.7, reward_bound=227.7
306: loss=0.393, reward_mean=79.3, reward_bound=38.3
307: loss=0.529, reward_mean=106.2, reward_bound=218.4
308: loss=0.635, reward_mean=64.9, reward_bound=49.8
309: loss=0.617, reward_mean=59.9, reward_bound=35.0
310: loss=0.543, reward_mean=67.2, reward_bound=45.9
311: loss=0.544, reward_mean=104.3, reward_bound=232.5
312: loss=0.514, reward_mean=107.8, reward_bound=214.6
313: loss=0.442, reward_mean=90.8, reward_bound=133.0
314: loss=0.504, reward_mean=110.5, reward_bound=208.1
315: loss=0.436, reward_mean=161.3, reward_bound=250.7
316: loss=0.547, reward_mean=127.5, reward_bound=231.2
317: loss=0.494, reward_mean=111.7, reward_bound=192.8
318: loss=0.554, reward_mean=115.9, reward_bound=226.1
319: loss=0.545, reward_mean=109.6, reward_bound=220.1
320: loss=0.467, reward_mean=113.7, reward_bound=227.0
321: loss=0.593, reward_mean=134.9, reward_bound=225.3
322: loss=0.560, reward_mean=190.5, reward_bound=277.1
323: loss=0.610, reward_mean=159.3, reward_bound=255.1
324: loss=0.614, reward_mean=147.1, reward_bound=254.1
325: loss=0.632, reward_mean=133.1, reward_bound=252.2
326: loss=0.696, reward_mean=235.3, reward_bound=265.6


Model 2

0: loss=1.370, reward_mean=-152.5, reward_bound=-98.9
1: loss=1.367, reward_mean=-141.4, reward_bound=-92.8
2: loss=1.359, reward_mean=-153.9, reward_bound=-107.6
3: loss=1.343, reward_mean=-162.1, reward_bound=-119.1
4: loss=1.328, reward_mean=-204.6, reward_bound=-127.3
5: loss=1.317, reward_mean=-191.3, reward_bound=-153.0
6: loss=1.362, reward_mean=-179.1, reward_bound=-116.0
7: loss=1.349, reward_mean=-165.5, reward_bound=-124.5
8: loss=1.357, reward_mean=-108.1, reward_bound=-98.1
9: loss=1.339, reward_mean=-100.8, reward_bound=-97.2
10: loss=1.357, reward_mean=-138.0, reward_bound=-124.0
11: loss=1.344, reward_mean=-124.2, reward_bound=-97.9
12: loss=1.344, reward_mean=-133.0, reward_bound=-111.0
13: loss=1.366, reward_mean=-110.0, reward_bound=-92.6
14: loss=1.342, reward_mean=-135.4, reward_bound=-94.2
15: loss=1.340, reward_mean=-93.9, reward_bound=-79.6
16: loss=1.312, reward_mean=-95.3, reward_bound=-83.7
17: loss=1.315, reward_mean=-105.1, reward_bound=-76.6
18: loss=1.290, reward_mean=-100.7, reward_bound=-84.8
19: loss=1.259, reward_mean=-94.9, reward_bound=-76.4
20: loss=1.228, reward_mean=-81.3, reward_bound=-55.9
21: loss=1.278, reward_mean=-78.2, reward_bound=-60.2
22: loss=1.228, reward_mean=-74.6, reward_bound=-57.7
23: loss=1.210, reward_mean=-67.5, reward_bound=-29.0
24: loss=1.164, reward_mean=-108.7, reward_bound=-28.3
25: loss=1.163, reward_mean=-87.5, reward_bound=-26.3
26: loss=1.123, reward_mean=-101.1, reward_bound=-26.8
27: loss=1.141, reward_mean=-138.5, reward_bound=-88.6
28: loss=1.139, reward_mean=-153.2, reward_bound=-51.8
29: loss=1.094, reward_mean=-181.3, reward_bound=-133.6
30: loss=1.046, reward_mean=-129.6, reward_bound=-60.4
31: loss=1.094, reward_mean=-93.2, reward_bound=-14.8
32: loss=1.101, reward_mean=-98.6, reward_bound=-9.0
33: loss=1.101, reward_mean=-120.4, reward_bound=-56.7
34: loss=1.139, reward_mean=-63.9, reward_bound=-26.3
35: loss=1.123, reward_mean=-33.3, reward_bound=-11.6
36: loss=1.090, reward_mean=-53.4, reward_bound=-20.9
37: loss=1.124, reward_mean=-64.4, reward_bound=3.3
38: loss=1.095, reward_mean=-57.7, reward_bound=-27.9
39: loss=1.151, reward_mean=-48.8, reward_bound=-17.6
40: loss=1.144, reward_mean=-41.2, reward_bound=-9.6
41: loss=1.100, reward_mean=-33.4, reward_bound=-4.2
42: loss=1.090, reward_mean=-26.8, reward_bound=-17.0
43: loss=1.123, reward_mean=-29.4, reward_bound=-13.5
44: loss=1.083, reward_mean=-34.5, reward_bound=-3.2
45: loss=1.086, reward_mean=-4.3, reward_bound=8.1
46: loss=1.170, reward_mean=-5.9, reward_bound=-2.4
47: loss=1.133, reward_mean=-16.8, reward_bound=-7.7
48: loss=1.132, reward_mean=-45.3, reward_bound=-0.1
49: loss=1.056, reward_mean=-24.6, reward_bound=2.4
50: loss=1.135, reward_mean=-34.4, reward_bound=-11.3
51: loss=1.139, reward_mean=-54.6, reward_bound=5.7
52: loss=1.150, reward_mean=-4.6, reward_bound=8.2
53: loss=1.081, reward_mean=-14.2, reward_bound=7.8
54: loss=1.154, reward_mean=-22.3, reward_bound=6.3
55: loss=1.106, reward_mean=2.4, reward_bound=19.5
56: loss=1.115, reward_mean=-23.1, reward_bound=14.0
57: loss=1.086, reward_mean=-23.7, reward_bound=18.3
58: loss=1.013, reward_mean=-37.6, reward_bound=3.4
59: loss=1.177, reward_mean=-16.3, reward_bound=20.2
60: loss=1.076, reward_mean=12.6, reward_bound=29.9
61: loss=1.180, reward_mean=12.5, reward_bound=30.2
62: loss=1.054, reward_mean=-10.4, reward_bound=11.2
63: loss=1.199, reward_mean=1.5, reward_bound=18.4
64: loss=0.978, reward_mean=-21.2, reward_bound=5.0
65: loss=1.155, reward_mean=6.8, reward_bound=26.7
66: loss=1.201, reward_mean=-62.9, reward_bound=18.1
67: loss=1.164, reward_mean=-14.6, reward_bound=22.7
68: loss=1.190, reward_mean=-2.1, reward_bound=21.9
69: loss=1.166, reward_mean=-28.7, reward_bound=16.8
70: loss=1.228, reward_mean=15.1, reward_bound=34.1
71: loss=1.044, reward_mean=-14.6, reward_bound=27.3
72: loss=1.235, reward_mean=-6.1, reward_bound=23.2
73: loss=1.245, reward_mean=15.5, reward_bound=29.5
74: loss=1.250, reward_mean=21.3, reward_bound=39.2
75: loss=1.236, reward_mean=15.3, reward_bound=32.0
76: loss=1.247, reward_mean=20.1, reward_bound=42.4
77: loss=0.911, reward_mean=14.7, reward_bound=34.0
78: loss=1.243, reward_mean=12.5, reward_bound=37.5
79: loss=0.941, reward_mean=28.4, reward_bound=44.1
80: loss=1.213, reward_mean=20.0, reward_bound=30.1
81: loss=1.154, reward_mean=19.2, reward_bound=27.5
82: loss=1.203, reward_mean=-7.6, reward_bound=27.2
83: loss=1.225, reward_mean=37.4, reward_bound=64.8
84: loss=1.108, reward_mean=8.9, reward_bound=38.8
85: loss=0.969, reward_mean=13.6, reward_bound=32.1
86: loss=1.131, reward_mean=22.1, reward_bound=36.7
87: loss=1.076, reward_mean=20.6, reward_bound=40.3
88: loss=1.142, reward_mean=20.6, reward_bound=42.8
89: loss=1.135, reward_mean=22.7, reward_bound=37.5
90: loss=1.090, reward_mean=16.6, reward_bound=39.5
91: loss=1.055, reward_mean=5.2, reward_bound=40.0
92: loss=1.097, reward_mean=33.8, reward_bound=50.9
93: loss=1.071, reward_mean=4.9, reward_bound=42.5
94: loss=1.086, reward_mean=8.6, reward_bound=38.8
95: loss=1.085, reward_mean=29.0, reward_bound=44.1
96: loss=1.000, reward_mean=19.2, reward_bound=33.6
97: loss=1.027, reward_mean=-0.2, reward_bound=35.5
98: loss=1.049, reward_mean=17.5, reward_bound=44.4
99: loss=0.987, reward_mean=11.9, reward_bound=36.0
100: loss=1.009, reward_mean=-17.0, reward_bound=21.0
101: loss=1.026, reward_mean=14.0, reward_bound=44.5
102: loss=0.965, reward_mean=-7.4, reward_bound=35.1
103: loss=0.948, reward_mean=41.9, reward_bound=61.4
104: loss=0.859, reward_mean=45.3, reward_bound=60.8
105: loss=0.863, reward_mean=29.5, reward_bound=42.6
106: loss=0.814, reward_mean=53.2, reward_bound=66.3
107: loss=0.798, reward_mean=46.9, reward_bound=42.5
108: loss=0.720, reward_mean=41.1, reward_bound=56.5
109: loss=0.794, reward_mean=57.4, reward_bound=41.6
110: loss=0.751, reward_mean=27.1, reward_bound=43.1
111: loss=0.746, reward_mean=18.0, reward_bound=34.8
112: loss=0.836, reward_mean=15.1, reward_bound=34.6
113: loss=0.801, reward_mean=25.8, reward_bound=45.8
114: loss=0.763, reward_mean=37.0, reward_bound=44.0
115: loss=0.801, reward_mean=35.5, reward_bound=36.5
116: loss=0.950, reward_mean=5.3, reward_bound=27.5
117: loss=0.689, reward_mean=36.9, reward_bound=54.3
118: loss=0.749, reward_mean=77.8, reward_bound=56.5
119: loss=0.926, reward_mean=2.6, reward_bound=32.8
120: loss=0.644, reward_mean=45.5, reward_bound=34.8
121: loss=0.798, reward_mean=45.1, reward_bound=46.6
122: loss=0.790, reward_mean=25.2, reward_bound=50.4
123: loss=0.831, reward_mean=34.0, reward_bound=33.3
124: loss=0.977, reward_mean=23.1, reward_bound=41.1
125: loss=0.729, reward_mean=53.9, reward_bound=50.7
126: loss=0.821, reward_mean=49.7, reward_bound=46.3
127: loss=0.731, reward_mean=43.0, reward_bound=39.4
128: loss=0.729, reward_mean=10.7, reward_bound=41.5
129: loss=0.689, reward_mean=59.4, reward_bound=50.1
130: loss=0.722, reward_mean=54.4, reward_bound=152.3
131: loss=0.732, reward_mean=72.5, reward_bound=87.7
132: loss=0.719, reward_mean=63.5, reward_bound=105.7
133: loss=0.822, reward_mean=19.1, reward_bound=40.4
134: loss=0.722, reward_mean=94.2, reward_bound=145.2
135: loss=0.652, reward_mean=52.1, reward_bound=174.6
136: loss=0.715, reward_mean=53.7, reward_bound=181.3
137: loss=0.759, reward_mean=0.0, reward_bound=58.7
138: loss=0.699, reward_mean=-16.7, reward_bound=45.9
